"lu","y_2015","y_2016","y_2017","y_2018","y_2019","y_2020","y_2021","y_2022"
"field_243","trit","trit","trit","trit","onio","trit","mint","trit"
"field_244","trit","trit","corn","trit","trit","trit","mint","trit"
"field_245","corn","wwht","barl","trit","mint","mint","mint","wwht"
"field_246","corn","wwht","barl","onio","mint","mint","mint","trit"
"field_247","trit","trit","trit","trit","trit","trit","corn","trit"
"field_248","trit","trit","trit","trit","trit","trit","corn","trit"
"field_249","onio","sgbt","corn","trit","onio","trit","trit","mint"
"field_250","corn","wwht","wwht","mint","mint","corn","wwht","corn"
"field_251","trit","trit","alfa","trit","trit","trit","trit","trit"
"field_252","trit","mint","trit","trit","trit","mint","trit","mint"
"field_253","trit","trit","trit","trit","trit","trit","trit","trit"
"field_254","canp","trit","trit","alfa","canp","canp","barl","canp"
"field_255","wwht","sgbt","sgbt","canp","canp","canp","corn","canp"
"field_256","trit","wwht","trit","alfa","corn","wwht","corn","corn"
"field_257","wwht","trit","sgbt","trit","trit","wwht","trit","sgbt"
"field_258","trit","wwht","trit","trit","mint","wwht","wwht","wwht"
"field_259","alfa","wwht","trit","mint","wwht","wwht","corn","mint"
"field_260","alfa","trit","sgbt","trit","trit","corn","corn","alfa"
"field_261","canp","alfa","trit","alfa","alfa","trit","corn","trit"
"field_262","trit","wwht","corn","wwht","mint","corn","trit","onio"
"field_263","trit","corn","barl","onio","barl","onio","wwht","barl"
"field_264","barl","barl","corn","trit","barl","wwht","corn","onio"
"field_265","wwht","corn","corn","trit","mint","onio","corn","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_268","trit","onio","corn","trit","onio","onio","corn","onio"
"field_269","trit","wwht","trit","mint","mint","onio","corn","mint"
"field_270","trit","trit","trit","trit","onio","corn","corn","trit"
"field_271","trit","trit","alfa","trit","trit","onio","trit","alfa"
"field_272","canp","alfa","trit","alfa","trit","mint","trit","trit"
"field_273","trit","mint","corn","trit","mint","trit","corn","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_276","trit","onio","trit","mint","barl","onio","trit","mint"
"field_277","trit","trit","crrt","mint","mint","onio","corn","corn"
"field_278","corn","corn","corn","alfa","corn","corn","corn","corn"
"field_279","corn","corn","corn","trit","trit","trit","trit","trit"
"field_280","trit","trit","trit","trit","trit","wwht","corn","corn"
"field_281","trit","trit","corn","trit","wwht","wwht","corn","corn"
"field_282","trit","canp","trit","trit","barl","trit","wwht","corn"
"field_283","alfa","wwht","wwht","trit","trit","wwht","corn","corn"
"field_284","trit","wwht","trit","barl","wwht","wwht","corn","corn"
"field_285","alfa","corn","corn","barl","mint","onio","barl","trit"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_287","trit","corn","trit","trit","barl","alfa","wwht","alfa"
"field_288","trit","trit","trit","trit","trit","wwht","trit","trit"
"field_289","trit","trit","trit","trit","trit","trit","trit","wwht"
"field_290","corn","trit","mint","trit","trit","alfa","trit","alfa"
"field_291","canp","trit","trit","mint","mint","trit","alfa","wwht"
"field_292","onio","trit","corn","trit","trit","wwht","corn","corn"
"field_293","onio","canp","corn","trit","mint","wwht","trit","corn"
"field_294","alfa","trit","trit","mint","trit","trit","corn","corn"
"fesc",NA,NA,NA,NA,NA,NA,NA,NA
"field_296","trit","trit","trit","trit","trit","corn","barl","trit"
